Site ID,query_count,Region,Country,missing_page_count,sae_count
1069,1,0,0,0.0,0.0
Site 1,88,ASIA,IND,0.0,2.0
Site 1000,3,EMEA,NOR,0.0,2.0
Site 1001,13,EMEA,NOR,0.0,3.0
Site 1002,3,EMEA,NOR,0.0,1.0
Site 1003,38,EMEA,FIN,0.0,4.0
Site 1004,17,EMEA,FIN,0.0,0.0
Site 1005,20,EMEA,FIN,0.0,2.0
Site 1006,12,EMEA,FIN,0.0,2.0
Site 1007,21,EMEA,FIN,0.0,4.0
Site 1008,42,EMEA,ISL,0.0,6.0
Site 1009,31,EMEA,ISL,0.0,0.0
Site 101,13,EMEA,SVK,0.0,0.0
Site 1010,5,EMEA,GRC,0.0,1.0
Site 1011,31,EMEA,GRC,0.0,4.0
Site 1012,6,EMEA,GRC,0.0,0.0
Site 1013,26,EMEA,GRC,0.0,0.0
Site 1014,1,EMEA,GRC,0.0,0.0
Site 1015,1,EMEA,GRC,0.0,0.0
Site 1016,3,EMEA,GRC,0.0,1.0
Site 1017,5,EMEA,GRC,0.0,1.0
Site 1018,9,AMERICA,USA,0.0,0.0
Site 1019,4,AMERICA,USA,0.0,2.0
Site 102,37,EMEA,SVK,0.0,2.0
Site 1020,56,AMERICA,USA,0.0,18.0
Site 1021,13,AMERICA,USA,0.0,3.0
Site 1022,47,AMERICA,USA,0.0,14.0
Site 1023,11,AMERICA,USA,0.0,4.0
Site 1024,35,AMERICA,USA,0.0,5.0
Site 1025,50,AMERICA,USA,0.0,3.0
Site 1026,2,AMERICA,USA,0.0,0.0
Site 1027,3,AMERICA,USA,0.0,0.0
Site 1028,13,AMERICA,USA,0.0,2.0
Site 1029,1,AMERICA,USA,0.0,0.0
Site 1030,11,AMERICA,USA,0.0,4.0
Site 1031,29,AMERICA,USA,0.0,5.0
Site 1032,5,AMERICA,USA,0.0,0.0
Site 1033,13,AMERICA,USA,0.0,2.0
Site 1034,20,AMERICA,USA,0.0,0.0
Site 1035,22,AMERICA,USA,0.0,8.0
Site 1036,14,AMERICA,USA,0.0,4.0
Site 1037,19,AMERICA,USA,0.0,9.0
Site 1038,3,AMERICA,USA,0.0,0.0
Site 1039,21,AMERICA,USA,0.0,3.0
Site 1040,22,AMERICA,USA,0.0,5.0
Site 1041,38,AMERICA,USA,0.0,7.0
Site 1042,62,AMERICA,USA,0.0,16.0
Site 1043,11,AMERICA,USA,0.0,2.0
Site 1044,26,AMERICA,USA,0.0,0.0
Site 1045,10,AMERICA,USA,0.0,1.0
Site 1046,4,AMERICA,USA,0.0,1.0
Site 1047,12,AMERICA,USA,0.0,6.0
Site 1048,2,AMERICA,USA,0.0,0.0
Site 1049,16,AMERICA,USA,0.0,3.0
Site 1050,16,AMERICA,USA,0.0,2.0
Site 1051,22,AMERICA,USA,0.0,2.0
Site 1052,16,AMERICA,USA,0.0,6.0
Site 1053,25,AMERICA,USA,0.0,4.0
Site 1054,5,AMERICA,USA,0.0,0.0
Site 1055,9,AMERICA,USA,0.0,2.0
Site 1056,2,AMERICA,USA,0.0,0.0
Site 1057,4,AMERICA,USA,0.0,0.0
Site 1058,37,AMERICA,USA,0.0,3.0
Site 1059,3,AMERICA,USA,0.0,2.0
Site 1060,33,AMERICA,USA,0.0,10.0
Site 1061,28,AMERICA,USA,0.0,7.0
Site 1062,21,AMERICA,USA,0.0,1.0
Site 1063,19,AMERICA,USA,0.0,6.0
Site 1064,14,AMERICA,USA,0.0,4.0
Site 1065,2,AMERICA,USA,0.0,0.0
Site 1066,8,AMERICA,USA,0.0,4.0
Site 1067,12,AMERICA,USA,0.0,0.0
Site 1068,14,AMERICA,USA,0.0,1.0
Site 1069,29,AMERICA,USA,0.0,11.0
