Site ID,query_count,Country,Region,missing_page_count,sae_count
1059,1,0,0,0,0.0
Site 10,9,AUT,EMEA,0,0.0
Site 100,34,POL,EMEA,0,0.0
Site 1001,16,COL,AMERICA,0,0.0
Site 1002,22,COL,AMERICA,0,0.0
Site 1008,22,MEX,AMERICA,0,0.0
Site 1009,10,MEX,AMERICA,0,0.0
Site 101,18,POL,EMEA,0,2.0
Site 1020,7,USA,AMERICA,0,0.0
Site 1022,17,USA,AMERICA,0,0.0
Site 1024,21,USA,AMERICA,0,0.0
Site 1025,29,USA,AMERICA,0,0.0
Site 1026,3,USA,AMERICA,0,0.0
Site 1027,1,USA,AMERICA,0,0.0
Site 1028,8,USA,AMERICA,0,0.0
Site 1029,14,USA,AMERICA,0,0.0
Site 1030,26,USA,AMERICA,0,0.0
Site 1035,27,USA,AMERICA,0,0.0
Site 1037,6,USA,AMERICA,0,0.0
Site 1038,8,USA,AMERICA,0,0.0
Site 1039,5,USA,AMERICA,0,0.0
Site 1040,27,USA,AMERICA,0,0.0
Site 1041,19,USA,AMERICA,0,0.0
Site 1042,5,USA,AMERICA,0,0.0
Site 1044,2,USA,AMERICA,0,0.0
Site 1047,15,USA,AMERICA,0,0.0
Site 1048,23,USA,AMERICA,0,0.0
Site 1049,22,USA,AMERICA,0,0.0
Site 1051,1,USA,AMERICA,0,0.0
Site 1052,16,USA,AMERICA,0,0.0
Site 1054,14,USA,AMERICA,0,0.0
Site 1056,24,USA,AMERICA,0,0.0
Site 1057,13,USA,AMERICA,0,3.0
Site 1058,36,USA,AMERICA,0,0.0
Site 1059,11,USA,AMERICA,0,0.0
Site 1067,9,USA,AMERICA,0,0.0
Site 1072,7,USA,AMERICA,0,0.0
Site 1073,7,USA,AMERICA,0,0.0
Site 1074,8,USA,AMERICA,0,0.0
Site 1080,11,USA,AMERICA,0,0.0
Site 1083,13,USA,AMERICA,0,0.0
Site 1084,15,USA,AMERICA,0,0.0
Site 1088,11,USA,AMERICA,0,0.0
Site 109,49,IND,ASIA,0,0.0
Site 1090,11,USA,AMERICA,0,0.0
Site 1092,2,USA,AMERICA,0,0.0
Site 1093,4,USA,AMERICA,0,0.0
Site 1095,4,USA,AMERICA,0,0.0
Site 1099,14,USA,AMERICA,0,0.0
Site 11,21,CZE,EMEA,0,0.0
Site 1100,21,USA,AMERICA,0,0.0
Site 1102,7,USA,AMERICA,0,0.0
Site 1103,17,USA,AMERICA,0,0.0
Site 1106,11,USA,AMERICA,0,0.0
Site 1108,5,USA,AMERICA,0,0.0
Site 1109,23,USA,AMERICA,0,0.0
Site 1110,13,USA,AMERICA,0,0.0
Site 1112,14,USA,AMERICA,0,0.0
Site 1113,52,USA,AMERICA,0,0.0
Site 1114,23,USA,AMERICA,0,0.0
Site 1115,2,USA,AMERICA,0,0.0
Site 1116,9,USA,AMERICA,0,0.0
Site 1117,1,USA,AMERICA,0,0.0
Site 1120,9,USA,AMERICA,0,0.0
Site 1121,20,USA,AMERICA,0,0.0
Site 1123,25,USA,AMERICA,0,0.0
Site 1125,16,USA,AMERICA,0,0.0
Site 1128,10,USA,AMERICA,0,0.0
Site 1129,12,USA,AMERICA,0,0.0
Site 113,1,BEL,EMEA,0,0.0
Site 1136,6,USA,AMERICA,0,0.0
Site 1137,4,USA,AMERICA,0,0.0
Site 1139,5,USA,AMERICA,0,0.0
Site 1140,6,USA,AMERICA,0,0.0
Site 1145,11,USA,AMERICA,0,0.0
Site 1148,15,USA,AMERICA,0,0.0
Site 1152,11,USA,AMERICA,0,0.0
Site 1153,8,USA,AMERICA,0,0.0
Site 1155,18,USA,AMERICA,0,0.0
Site 1156,6,USA,AMERICA,0,0.0
Site 1157,14,USA,AMERICA,0,0.0
Site 1161,13,USA,AMERICA,0,0.0
Site 1162,2,USA,AMERICA,0,0.0
Site 1163,13,USA,AMERICA,0,0.0
Site 1164,94,USA,AMERICA,0,0.0
Site 1166,29,USA,AMERICA,0,0.0
Site 1169,4,USA,AMERICA,0,0.0
Site 1170,1,USA,AMERICA,0,0.0
Site 1171,1,USA,AMERICA,0,0.0
Site 1172,36,USA,AMERICA,0,0.0
Site 1173,10,USA,AMERICA,0,0.0
Site 1174,5,USA,AMERICA,0,0.0
Site 1175,13,USA,AMERICA,0,0.0
Site 1177,3,USA,AMERICA,0,0.0
Site 1179,31,USA,AMERICA,0,0.0
Site 1180,16,USA,AMERICA,0,0.0
Site 1181,15,USA,AMERICA,0,0.0
Site 1182,8,USA,AMERICA,0,0.0
Site 1184,2,USA,AMERICA,0,0.0
Site 1187,2,USA,AMERICA,0,0.0
Site 1188,7,USA,AMERICA,0,0.0
Site 1189,13,USA,AMERICA,0,0.0
Site 1191,9,USA,AMERICA,0,0.0
Site 1192,2,USA,AMERICA,0,0.0
Site 12,2,FRA,EMEA,0,0.0
Site 124,24,BGR,EMEA,0,0.0
Site 125,60,BGR,EMEA,0,0.0
Site 126,53,BGR,EMEA,0,0.0
Site 127,5,BGR,EMEA,0,0.0
Site 129,13,BGR,EMEA,0,0.0
Site 1291,2,USA,AMERICA,0,0.0
Site 1294,6,USA,AMERICA,0,0.0
Site 1295,15,CHN,ASIA,0,2.0
Site 1296,9,CHN,ASIA,0,0.0
Site 1297,13,CHN,ASIA,0,1.0
Site 1298,5,CHN,ASIA,0,0.0
Site 1299,7,CHN,ASIA,0,0.0
Site 13,3,POL,EMEA,0,0.0
Site 1301,12,CHN,ASIA,0,0.0
Site 1302,11,CHN,ASIA,0,0.0
Site 1303,9,CHN,ASIA,0,0.0
Site 1304,3,CHN,ASIA,0,0.0
Site 1306,18,CHN,ASIA,0,2.0
Site 1307,3,CHN,ASIA,0,0.0
Site 1308,17,CHN,ASIA,0,0.0
