Site ID,query_count,Country,Region,missing_page_count,sae_count
14,1.0,0,0,0.0,0.0
AUS,0.0,0,0,54.0,0.0
CHN,0.0,0,0,29.0,0.0
ISR,0.0,0,0,8.0,0.0
JPN,0.0,0,0,61.0,0.0
SGP,0.0,0,0,26.0,0.0
Site 14,12.0,AUS,ASIA,0.0,0.0
Site 15,4.0,AUS,ASIA,0.0,0.0
Site 165,4.0,CHN,ASIA,0.0,0.0
Site 168,1.0,CHN,ASIA,0.0,0.0
Site 191,2.0,JPN,ASIA,0.0,0.0
Site 193,3.0,JPN,ASIA,0.0,0.0
Site 194,2.0,JPN,ASIA,0.0,0.0
Site 20,7.0,USA,AMERICA,0.0,1.0
Site 345,1.0,JPN,ASIA,0.0,0.0
Site 349,7.0,SGP,ASIA,0.0,0.0
Site 350,1.0,SGP,ASIA,0.0,0.0
Site 351,3.0,TWN,ASIA,0.0,0.0
Site 352,1.0,JPN,ASIA,0.0,0.0
Site 62,5.0,ISR,EMEA,0.0,0.0
TWN,0.0,0,0,16.0,0.0
USA,0.0,0,0,16.0,0.0
